,train,test,valid,epoch
0,0.060570762958648806,0.6670399022801303,0.6657183499288762,1
1,0.030285381479324403,0.6863802931596091,0.6858362121520016,2
2,0.020190254319549603,0.6976791530944625,0.6905100589311116,3
3,0.015142690739662202,0.6990024429967426,0.7007722007722008,4
4,0.012114152591729762,0.7009364820846905,0.7018898597845966,5
5,0.010095127159774802,0.7017508143322475,0.7048364153627311,6
6,0.00865296613694983,0.7030741042345277,0.7072749441170494,7
7,0.007571345369831101,0.7028705211726385,0.7075797602113392,8
8,0.0067300847731832005,0.708163680781759,0.7106279211542369,9
9,0.006057076295864881,0.7091815960912052,0.7123552123552124,10
10,0.0055064329962408,0.7040920195439739,0.708290997764682,11
11,0.005047563579887401,0.7005293159609121,0.7099166836008941,12
12,0.004659289458357601,0.7064332247557004,0.7107295265190002,13
13,0.004326483068474915,0.7082654723127035,0.7115423694371062,14
14,0.004038050863909921,0.7044991856677525,0.708290997764682,15
