,train,test,valid,epoch
0,0.09842748980780432,0.6651058631921825,0.6686649055070107,1
1,0.04921374490390216,0.6896376221498371,0.6975208290997764,2
2,0.0328091632692681,0.694014657980456,0.6924405608616135,3
3,0.02460687245195108,0.7032776872964169,0.7049380207274945,4
4,0.019685497961560862,0.7098941368078175,0.7080877870351554,5
5,0.01640458163463405,0.7192589576547231,0.7120503962609226,6
6,0.014061069972543474,0.7199714983713354,0.7105263157894737,7
7,0.01230343622597554,0.7217019543973942,0.7147937411095305,8
8,0.010936387756422701,0.7108102605863192,0.7138792928266613,9
9,0.009842748980780431,0.7160016286644951,0.7145905303800041,10
10,0.0089479536188913,0.713864006514658,0.716521032310506,11
11,0.008202290817317026,0.7180374592833876,0.7186547449705345,12
12,0.007571345369831101,0.7110138436482085,0.7102214996951839,13
13,0.007030534986271737,0.7125407166123778,0.7163178215809795,14
14,0.006561832653853621,0.7170195439739414,0.7189595610648242,15
