,train,test,valid,epoch
0,0.07513104251601631,0.6775244299674267,0.681670392196708,1
1,0.037565521258008154,0.6942182410423453,0.697724039829303,2
2,0.025043680838672103,0.7011400651465798,0.7017882544198334,3
3,0.018782760629004077,0.6949307817589576,0.6995529363950417,4
4,0.015026208503203261,0.6961522801302932,0.7045315992684413,5
5,0.012521840419336051,0.6994096091205212,0.7056492582808372,6
6,0.010733006073716616,0.7018526058631922,0.7034139402560455,7
7,0.009391380314502039,0.7084690553745928,0.7045315992684413,8
8,0.0083478936128907,0.7028705211726385,0.702804308067466,9
9,0.007513104251601631,0.7013436482084691,0.7099166836008941,10
10,0.006830094774183301,0.7023615635179153,0.70636049583418,11
11,0.006260920209668026,0.7024633550488599,0.7053444421865475,12
