,train,test,valid,epoch
0,0.09085614443797321,0.6644951140065146,0.6641942694574273,1
1,0.045428072218986607,0.6889250814332247,0.6807559439138386,2
2,0.030285381479324403,0.6951343648208469,0.6982320666531193,3
3,0.022714036109493303,0.6950325732899023,0.6968095915464336,4
4,0.01817122888759464,0.7028705211726385,0.70168664905507,5
5,0.015142690739662202,0.6996131921824105,0.70168664905507,6
6,0.012979449205424744,0.7046009771986971,0.7007722007722008,7
7,0.011357018054746652,0.7099959283387622,0.7024994919731762,8
8,0.010095127159774802,0.709792345276873,0.7050396260922577,9
9,0.00908561444379732,0.7121335504885994,0.702804308067466,10
10,0.0082596494943612,0.7099959283387622,0.7020930705141232,11
